ID #,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16
1,8,5,7,7,1,4,5,5,3,2,5,1,1,1,1,
2,7,9,3,3,4,,,,,,,,,,,
3,4,5,3,5,6,4,5,5,5,0,3,3,0,0,,
4,5,8,7,8,5,9,7,5,5,2,2,1,2,3,0,1
5,1,,,,,,,,,,,,,,,
6,6,6,8,6,,,,,,,,,,,,
7,1,3,4,4,5,4,,,,,,,,,,
8,4,3,7,4,3,3,6,3,6,1,2,2,4,1,,
9,2,5,3,4,5,3,,,,,,,,,,
10,8,5,1,,,,,,,,,,,,,
11,5,6,7,6,4,7,3,4,3,3,3,,,,,
12,4,6,6,5,,,,,,,,,,,,
13,1,1,0,0,2,0,0,0,0,0,5,4,,,,
14,7,1,5,4,5,2,8,4,3,4,4,4,3,2,4,1
15,8,4,5,5,4,6,3,5,3,0,1,1,1,1,0,1
16,7,5,3,3,3,1,2,3,2,1,1,4,2,0,1,
17,7,4,3,8,6,3,6,5,4,4,3,5,1,4,0,1
18,3,8,5,8,7,5,0,0,0,,,,,,,
19,4,2,3,6,1,5,8,3,1,,,,,,,
20,6,6,8,6,3,6,4,1,,,,,,,,
21,9,6,3,4,0,5,4,2,0,2,,,,,,
22,4,5,4,5,6,6,6,5,4,2,4,0,,,,
23,6,,,,,,,,,,,,,,,
24,1,5,7,5,5,6,4,5,7,,,,,,,
25,3,5,7,3,7,7,6,3,8,2,5,0,2,1,0,
26,8,4,5,3,1,1,1,4,3,1,0,1,0,0,0,0
27,7,11,9,4,5,3,4,5,2,3,4,0,0,,,
28,4,6,3,7,4,6,3,5,2,5,5,,,,,
29,1,3,2,2,3,3,4,4,2,1,1,1,1,0,,
30,3,7,6,6,6,6,2,5,2,,,,,,,
31,9,10,5,3,8,6,6,2,4,,,,,,,
32,4,8,0,,,,,,,,,,,
33,7,4,3,3,6,,,,,,,,,
34,4,6,6,4,6,3,,,,,,,,
35,3,1,0,,,,,,,,,,,
36,2,9,7,5,7,6,4,8,3,1,6,,,
37,8,4,10,8,6,5,5,4,0,,,,,
38,4,5,5,2,5,5,5,,,,,,,
39,4,2,5,,,,,,,,,,,
40,5,7,4,7,5,8,3,,,,,,,
41,6,5,9,5,6,4,5,1,1,0,1,1,1,
42,1,6,8,,,,,,,,,,,
43,2,3,0,0,,,,,,,,,,
44,4,5,8,6,5,7,6,6,3,7,0,4,0,2
45,4,7,7,4,6,7,5,4,5,,,,,
46,5,6,5,7,9,6,4,6,2,,,,,
